Categoria;Cargo;Vantagens;Descontos ;Líquido;;
A DISPOSICAO COMISSIONADO;SERVIDOR URB DISP.CAMARA;487;0;487;;
A DISPOSICAO COMISSIONADO;SERVIDOR EMLURB DISP.CAMARA;1192;137;1054;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;539;7;532;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;13680;2965;10715;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9984;1948;8036;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;12862;2740;10122;;
VEREADORES;VEREADOR;14635;2884;11751;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;487;0;487;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8411;1463;6947;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5920;784;5136;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3823;250;3573;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5678;672;5005;;
A DISPOSICAO COMISSIONADO;SERVIDOR URB DISP.CAMARA;894;71;822;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3432;188;3244;;
A DISPOSICAO COMISSIONADO;SERVIDOR EMLURB DISP.CAMARA;894;0;894;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4687;460;4227;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8848;1636;7212;;
A DISPOSICAO COMISSIONADO;SERVIDOR EMLURB DISP.CAMARA;487;0;487;;
A DISPOSICAO;SERVIDOR PCR DISP.CAMARA;0;0;0;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;3601;290;3311;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4967;471;4496;;
VEREADORES;VEREADOR;14635;2936;11699;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;19466;4556;14910;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3432;188;3244;;
